oai:ecommons.cornell.edu:1813/961,82-121*A Trollius ledebourii 'Golden Queen',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/962,85-395*F Fothergilla gardenii,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/963,86-225*A Polygonum bistorta 'Superbum',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/964,86-267*A Disporum sessile spp. flavins,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/965,86-528*A Iris 'Gay Lassie',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/966,87-023*B Pulmonaria 'Sissinghurst White' Award of Garden Merit,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/967,87-107*A Magnolia tripetala,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/968,89-062*A Malus sargentii 'Tina',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/969,91-190*G Malus 'Parrsi' PINK PRINCESS,,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/970,92-150*A Geranium sanguineum 'Max Frei',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/971,95-121*A Dodecatheon meadia 'Album',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/972,95-214*A Silene 'Longwood',,,image/jpeg,Image
oai:ecommons.cornell.edu:1813/973,97-111*A Malus 'Robinson',,,image/jpeg,Image
